2003	74.78350578960362
2007	74.43166739894586
2018	74.68020244821045
2015	74.8688202247191
2006	74.22643294379533
2013	74.33017506631278
1997	73.44114151293785
2014	74.69651595444817
2019	75.0926282427516
2004	74.63945800724225
1996	73.5547023197347
1998	73.7488082901554
2020	75.19329173166936
2012	73.63346493506495
2009	74.75408325750644
2016	75.28325705993966
1995	73.89003562680901
2001	74.29669352927287
2005	74.4940256839755
2000	73.41774538142505
2010	75.33058596265319
2011	74.37706635622834
2008	74.44145334434351
2017	74.94500502288221
1999	73.89422227674179
2002	74.2887890721139
